bridgeName,lon,lat
西濱雙春一號橋,120.116725,23.30408
雙春五號橋,120.130165,23.299315
無名橋(N3-727),120.124475,23.29879
雙春十號橋,120.12007,23.30259
北勢橋-721,120.238195,23.21276
新營陸橋1,120.324955,23.310565
風空橋A,120.36872,23.009795
福德橋-726,120.191125,23.209805
自強橋-730,120.323305,23.310345
無名橋(N4-712),120.35882,23.015915
無名橋(N15-712),120.30984,23.043015
無名橋(N4-725),120.163675,23.195245
羅符坑橋(原蘆竹坑橋),120.3025,23.31689
無名橋(N1-726),120.194875,23.25087
無名橋(N2-725),120.14648,23.22485
無名橋(N3-725),120.14737,23.222915
塭子瀨橋,120.280835,22.96439
帝溪橋,120.31437,23.03723
無名橋(N6-730),120.30871,23.306815
無名橋(N9-725),120.126545,23.20196
南筏子頭橋,120.16661,23.27406
正安橋,120.14855,23.289585
無名橋(N14-712),120.287225,23.04758
無名橋(N11-712),120.29405,23.037775
崩溝溪橋(原東芳橋),120.323555,23.059955
新渡子頭橋,120.1726,23.2916
無名橋(N4-730),120.312245,23.307855
太子二號橋,120.270935,23.293315
第三十號橋,120.17195,23.23835
無名橋(V5-730),120.318145,23.31803
無名橋(N11-725),120.114455,23.204515
一號橋-725,120.09351,23.19166
後營北二橋,120.21521,23.157525
德安二號橋,120.193995,23.24865
綠川橋(N1-730),120.321495,23.309425
新營陸橋2,120.32529,23.311515
下宅子排水3號橋,120.19512,23.1534
無名橋(V8-730),120.32125,23.314675
無名橋(01-721),120.2134,23.1892
仁愛橋-730,120.313145,23.30817
雙春九號橋,120.1224,23.29898
無名橋(09-713),120.401565,23.063015
義合橋,120.148005,23.10699
無名橋(N7-725),120.147685,23.19938
永樂北橋,120.18,23.1124
存仁感恩橋,120.361435,23.183795
竹林排水2號橋,120.191555,23.121255
仁里橋,120.13921,23.25557
無名橋(N11-722),120.21195,23.1663
竹林北橋,120.190185,23.125395
西港水圳8號橋,120.20177,23.11936
無名橋(N3-717),120.240475,22.92884
寮廓橋,120.28342,23.19459
施寮排水3號橋,120.21052,23.14492
無名橋(N1-727),120.15979,23.29425
外渡頭橋,120.16828,23.12889
大灣橋-726,120.19136,23.214605
無名橋(V11-730),120.32142,23.312025
文瑞橋,120.2067,23.20805
大塭寮排水8號橋,120.17896,23.103635
頂山橋,120.11252,23.17832
無名橋(V15-730),120.32067,23.32706
永吉橋,120.12511,23.094035
新芳橋,120.193685,23.27634
水牛橋,120.378895,23.066795
無名橋(N5-730),120.31005,23.307215
葫蘆埤水圳橋,120.29403,23.192265
新營陸橋3,120.326225,23.311565
大塭寮排水2號橋,120.19681,23.10762
玉港橋(舊),120.13667,23.262935
興合橋,120.120185,23.248825
竹林大橋(原劉厝排水5號橋),120.184575,23.12956
無名橋(N9-730),120.296235,23.299905
中周寮排水三號橋,120.22456,23.127115
過港橋,120.245325,23.2065
佳龍橋,120.17096,23.14277
大塭寮排水5號橋,120.188425,23.10501
