橋梁名稱,英譯橋名,管理機關,道路等級,橋梁總長
道爺圳糯米橋(芳草橋),Daoye Zunnuomi Bridge,嘉義市政府,市區道路,6
道爺橋,Daoye Bridge,嘉義市政府,市區道路,6
嘉溪橋,Jiaxi Bridge,嘉義市政府,市區道路,17
樂利橋,Leli Bridge,嘉義市政府,市區道路,10.6
學府橋,Xuefu Bridge,嘉義市政府,市區道路,13.7
盧厝1號橋,Lucuo No.1 Bridge,嘉義市政府,市區道路,8.3
興業西路地下道,Singye W. Rd Underpass,嘉義市政府,市區道路,21.4
興嘉拱橋,Xingjia Bridge,嘉義市政府,其他,16
興龍橋,Xinglong Bridge,嘉義市政府,市區道路,13
檜橋,Kuai Bridge,嘉義市政府,省道,18
